"id" "x" "y" "rainfall" "long" "lat"
313 46372 36505 58 8.786 47.152
175 -27723 36388 322 7.813 47.151
88 -72356 34541 180 7.226 47.134
337 55465 34359 82 8.906 47.132
113 -52692 34334 349 7.485 47.132
275 31263 34182 137 8.588 47.131
228 1765 34100 115 8.2 47.13
70 -83716 33578 96 7.077 47.125
376 69848 33399 184 9.095 47.123
93 -68588 33384 256 7.276 47.123
303 44129 33152 65 8.757 47.121
141 -42112 33137 328 7.624 47.121
295 39590 33120 94 8.697 47.121
429 100124 32720 235 9.493 47.117
386 74401 32342 115 9.155 47.114
312 46407 32057 91 8.787 47.111
185 -24717 31927 400 7.852 47.11
340 56253 31030 103 8.916 47.102
269 28253 30831 93 8.548 47.1
322 49452 29858 72 8.827 47.091
43 -103460 29441 281 6.817 47.087
301 41899 27576 113 8.728 47.07
289 35084 27532 86 8.638 47.07
188 -23978 27477 327 7.862 47.069
253 20697 27464 70 8.449 47.069
34 -110314 27340 228 6.727 47.068
140 -42159 26466 375 7.623 47.06
164 -33071 26408 445 7.742 47.06
40 -107305 26173 260 6.767 47.058
58 -89885 25884 119 6.996 47.055
199 -18685 25234 314 7.931 47.049
424 96467 24875 282 9.445 47.046
373 68438 24486 145 9.076 47.042
174 -27780 24157 378 7.812 47.039
189 -23234 24138 426 7.872 47.039
98 -67188 23360 300 7.294 47.032
360 63147 23316 155 9.007 47.032
311 46477 23162 91 8.788 47.03
209 -12630 22994 225 8.011 47.029
238 10104 22989 87 8.31 47.029
46 -96756 22655 290 6.906 47.026
432 101069 21615 200 9.505 47.016
194 -20973 20793 365 7.901 47.009
35 -109680 20655 296 6.736 47.007
105 -62677 19974 398 7.353 47.001
318 47261 19832 140 8.798 47
291 35888 19752 86 8.649 46.999
184 -24768 19696 412 7.852 46.999
203 -17186 19669 239 7.951 46.998
56 -92261 19247 223 6.965 46.994
247 16178 18554 59 8.39 46.988
231 4803 18534 142 8.24 46.988
447 111743 18469 175 9.645 46.987
413 89751 18097 284 9.356 46.984
69 -83936 18012 330 7.074 46.983
84 -75594 17901 334 7.184 46.982
26 -118084 17479 234 6.625 46.978
217 -7332 17425 166 8.081 46.978
453 114798 17415 205 9.686 46.978
304 45012 16479 106 8.768 46.969
235 6322 16312 71 8.26 46.968
243 13152 15211 32 8.35 46.958
441 105735 15023 240 9.566 46.956
42 -103712 14987 225 6.814 46.956
323 50350 13186 162 8.839 46.939
359 63265 12196 199 9.008 46.93
171 -28596 11929 429 7.801 46.928
78 -79475 11279 342 7.133 46.922
111 -56696 11018 434 7.432 46.919
388 76199 10123 271 9.178 46.911
23 -121276 9758 191 6.583 46.908
423 96720 9309 230 9.448 46.904
91 -70390 8940 347 7.252 46.9
150 -39247 8654 517 7.661 46.898
271 29878 8600 59 8.57 46.897
28 -116742 8555 183 6.643 46.897
202 -17218 8550 185 7.951 46.897
339 56485 6568 190 8.919 46.879
117 -50660 6516 434 7.511 46.878
210 -11145 6311 145 8.031 46.877
234 6333 6304 57 8.26 46.876
65 -85629 5803 289 7.052 46.872
353 61816 5509 247 8.989 46.869
464 131778 4419 121 9.909 46.859
310 46624 4259 171 8.79 46.858
288 35222 4181 33 8.64 46.857
79 -78818 3485 382 7.141 46.851
195 -20275 3000 251 7.911 46.846
434 103672 2753 170 9.539 46.844
24 -120674 1960 194 6.591 46.837
458 125007 937 92 9.82 46.828
416 94583 378 298 9.42 46.822
401 84694 230 220 9.29 46.821
15 -129848 -72 210 6.471 46.818
445 109815 -474 72 9.62 46.815
54 -93332 -754 322 6.951 46.812
104 -62900 -1152 393 7.35 46.808
460 128096 -1222 67 9.86 46.808
130 -45400 -1310 192 7.58 46.807
249 18515 -1454 60 8.42 46.806
224 254 -1483 53 8.18 46.805
475 161600 -1523 0 10.301 46.805
53 -93350 -1866 301 6.95 46.802
380 72550 -2154 221 9.13 46.799
114 -52257 -2366 406 7.49 46.797
19 -125353 -3505 217 6.53 46.787
160 -33999 -3610 223 7.73 46.786
236 8627 -3700 90 8.29 46.785
30 -115480 -4816 107 6.66 46.775
223 -508 -4818 72 8.17 46.775
452 115226 -4821 126 9.691 46.775
462 130476 -5620 100 9.892 46.768
17 -127684 -5680 234 6.499 46.767
420 95450 -6281 313 9.431 46.762
77 -79712 -6511 493 7.13 46.76
396 79458 -6515 241 9.221 46.76
300 41380 -6899 270 8.721 46.756
469 145757 -7492 8 10.092 46.751
112 -54591 -7906 351 7.46 46.747
20 -124685 -7968 100 6.539 46.746
144 -41642 -8010 200 7.63 46.746
92 -69838 -8859 415 7.259 46.738
370 67298 -8888 343 9.061 46.738
358 62727 -8938 287 9.001 46.738
22 -123184 -9111 79 6.558 46.736
216 -8127 -9261 68 8.07 46.735
122 -49277 -10175 221 7.529 46.726
246 13971 -10362 71 8.361 46.725
32 -113301 -10418 230 6.688 46.724
38 -108729 -10503 300 6.748 46.723
99 -66815 -11118 405 7.299 46.718
227 1778 -11490 73 8.2 46.714
440 106209 -11660 186 9.573 46.713
14 -136211 -12166 255 6.387 46.708
457 122236 -12467 82 9.783 46.705
470 146655 -13031 6 10.104 46.7
387 76497 -13226 269 9.182 46.698
327 52863 -13481 171 8.872 46.696
21 -124038 -13542 120 6.547 46.696
25 -119464 -13635 133 6.607 46.695
39 -108027 -13852 278 6.757 46.693
422 97099 -14039 132 9.453 46.691
52 -93540 -14096 324 6.948 46.691
147 -40170 -15803 143 7.649 46.675
190 -22628 -15895 82 7.88 46.674
449 113152 -15982 170 9.664 46.673
408 87981 -16404 218 9.333 46.669
12 -143939 -16435 228 6.286 46.669
306 46026 -16873 209 8.782 46.665
454 116224 -17036 184 9.704 46.664
442 107070 -17206 190 9.584 46.662
41 -104273 -17256 371 6.807 46.662
473 154392 -17287 5 10.206 46.661
154 -37133 -18047 142 7.689 46.654
277 32301 -18075 129 8.601 46.654
474 160524 -18238 29 10.286 46.653
71 -83690 -18690 585 7.077 46.649
377 71226 -18851 254 9.113 46.647
125 -47061 -19089 198 7.559 46.645
237 9412 -19266 140 8.301 46.643
86 -74547 -19922 390 7.197 46.637
285 34603 -20286 262 8.632 46.634
262 25443 -20332 185 8.511 46.634
27 -117307 -20351 214 6.636 46.633
455 120891 -21392 10 9.766 46.624
109 -59304 -22317 174 7.398 46.616
282 33088 -22518 149 8.612 46.614
213 -8908 -22603 141 8.06 46.613
33 -111242 -22691 290 6.715 46.612
389 77388 -23223 348 9.194 46.607
476 172891 -23457 15 10.449 46.605
18 -126536 -23500 110 6.514 46.605
8 -148708 -24105 190 6.223 46.599
76 -80712 -24291 407 7.116 46.598
97 -67728 -24452 283 7.287 46.596
444 109500 -24948 190 9.616 46.592
198 -19610 -25914 94 7.919 46.583
419 95768 -26294 94 9.435 46.579
149 -39481 -26928 97 7.658 46.574
159 -34132 -26960 145 7.728 46.573
205 -15792 -27037 118 7.969 46.573
50 -94512 -27426 432 6.935 46.569
379 72860 -27727 285 9.134 46.566
241 12486 -29268 148 8.341 46.552
6 -153432 -29548 263 6.161 46.55
193 -21153 -30356 123 7.899 46.542
407 88193 -30859 276 9.336 46.538
63 -87683 -30866 154 7.025 46.538
13 -140463 -30977 151 6.331 46.537
108 -60921 -31197 121 7.376 46.535
461 131057 -32302 16 9.899 46.525
29 -116780 -32596 334 6.642 46.522
245 14022 -32601 62 8.361 46.522
344 59158 -33438 452 8.954 46.514
16 -128276 -33474 210 6.491 46.514
281 33150 -33638 345 8.613 46.512
425 98187 -34040 129 9.467 46.509
48 -96147 -34073 383 6.914 46.508
392 78296 -34332 283 9.206 46.506
293 39277 -34713 346 8.693 46.503
31 -114528 -34864 371 6.672 46.501
37 -109172 -34963 394 6.742 46.5
11 -145922 -35296 149 6.259 46.497
123 -48722 -35756 119 7.537 46.493
239 10969 -35943 179 8.321 46.491
36 -109192 -36075 394 6.742 46.49
463 132684 -36715 39 9.921 46.484
153 -38015 -36945 121 7.677 46.482
126 -46443 -37998 141 7.567 46.473
81 -78609 -38776 264 7.144 46.466
317 47728 -39100 359 8.804 46.463
448 113592 -39330 96 9.67 46.46
1 -159812 -39393 215 6.077 46.46
44 -101596 -39544 323 6.842 46.459
391 78368 -39891 261 9.207 46.455
436 105188 -40595 65 9.559 46.449
51 -93956 -40780 415 6.942 46.447
465 138143 -41041 40 9.992 46.445
118 -50299 -41303 135 7.516 46.442
3 -158368 -42768 271 6.096 46.429
47 -97055 -42955 297 6.902 46.427
95 -68707 -43345 131 7.274 46.424
456 122870 -43597 99 9.792 46.422
101 -64887 -44499 104 7.324 46.413
459 126724 -44629 36 9.842 46.412
466 142077 -45399 18 10.044 46.405
7 -153090 -46242 149 6.165 46.397
9 -148491 -46357 187 6.226 46.396
176 -27345 -47010 37 7.818 46.39
75 -81792 -47630 268 7.102 46.385
221 -2045 -48184 34 8.15 46.38
397 81551 -48745 257 9.249 46.375
220 -2812 -49296 20 8.14 46.37
451 114546 -49321 131 9.682 46.369
467 143715 -49810 30 10.066 46.365
96 -68015 -50025 165 7.283 46.363
143 -41935 -50262 52 7.626 46.361
68 -84906 -50923 213 7.061 46.355
226 1790 -51520 78 8.201 46.349
468 145302 -51996 20 10.086 46.345
350 61646 -52317 503 8.987 46.342
82 -78030 -53240 180 7.152 46.334
435 105420 -53936 58 9.562 46.327
320 49386 -54654 278 8.826 46.321
49 -95716 -55210 255 6.919 46.316
139 -42749 -56929 55 7.615 46.3
280 33278 -56988 402 8.614 46.3
260 24830 -57029 354 8.503 46.299
208 -13567 -57065 30 7.999 46.299
115 -51974 -57968 99 7.494 46.291
383 74004 -58851 164 9.149 46.283
183 -25096 -59252 17 7.847 46.279
121 -49688 -60211 47 7.524 46.27
471 150921 -61870 55 10.16 46.255
67 -85061 -62042 214 7.059 46.253
4 -156586 -62838 166 6.119 46.246
74 -82771 -63186 220 7.089 46.243
10 -146620 -64200 220 6.25 46.234
62 -88936 -64210 214 7.008 46.234
385 75610 -64391 196 9.171 46.232
45 -101256 -65129 338 6.846 46.225
191 -22047 -65935 13 7.887 46.218
103 -63599 -67865 45 7.341 46.2
2 -159806 -68316 167 6.077 46.196
316 47974 -70233 312 8.807 46.179
290 36429 -70314 444 8.656 46.178
182 -25141 -70371 0 7.847 46.178
215 -8209 -70417 98 8.069 46.177
94 -69022 -71142 51 7.27 46.17
361 64917 -71188 240 9.03 46.17
110 -59026 -72360 98 7.401 46.159
131 -45168 -72479 43 7.583 46.158
330 54930 -73510 227 8.899 46.149
315 48000 -73569 308 8.808 46.148
283 34145 -74775 441 8.626 46.137
142 -42112 -75836 65 7.624 46.128
64 -86804 -76474 83 7.036 46.122
325 51878 -76873 208 8.859 46.118
299 41878 -79174 278 8.727 46.097
61 -89164 -79776 99 7.005 46.092
116 -51393 -80213 39 7.502 46.088
73 -83783 -80965 114 7.076 46.081
204 -15935 -81522 58 7.968 46.076
89 -73017 -83327 57 7.218 46.059
336 56563 -83503 90 8.92 46.058
57 -93102 -85277 82 6.954 46.042
80 -79258 -88810 33 7.136 46.009
165 -32168 -89241 108 7.754 46.005
357 63585 -91218 16 9.013 45.987
102 -63854 -92327 78 7.338 45.977
347 61279 -92353 74 8.982 45.977
87 -73962 -97772 98 7.205 45.928
367 67556 -101183 0 9.065 45.897
366 67605 -105630 0 9.065 45.856
363 66081 -107871 1 9.045 45.836
356 63769 -109008 0 9.015 45.825
